date,country,frequency,series,unit,value
1988-01-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),55.069791941006066
1988-02-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),55.30682117461154
1988-03-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),55.622860152752175
1988-04-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),55.78087964182249
1988-05-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),56.096918619963134
1988-06-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),56.254938109033446
1988-07-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),56.57097708717408
1988-08-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),56.64998683170924
1988-09-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),56.728996576244406
1988-10-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),57.04503555438505
1988-11-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),57.1240452989202
1988-12-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),57.1240452989202
1989-01-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),57.44008427706084
1989-02-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),57.835132999736636
1989-03-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),58.15117197787727
1989-04-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),58.30919146694759
1989-05-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),58.94126942322886
1989-06-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),59.17829865683435
1989-07-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),59.573347379510146
1989-08-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),59.652357124045295
1989-09-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),59.73136686858046
1989-10-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),59.96839610218594
1989-11-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),60.126415591256254
1989-12-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),60.126415591256254
1990-01-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),60.60047405846721
1990-02-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),60.99552278114301
1990-03-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),61.232552014748485
1990-04-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),61.232552014748485
1990-05-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),61.54859099288913
1990-06-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),61.78562022649461
1990-07-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),62.02264946010008
1990-08-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),62.10165920463524
1990-09-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),62.25967869370555
1990-10-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),62.812746905451675
1990-11-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),63.20779562812747
1990-12-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),63.12878588359232
1991-01-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),64.78799051883067
1991-02-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),64.78799051883067
1991-03-01,CAN,monthly,"CPI All-items Index (Canada national, 2002=100)",index (2015=100),65.02501975243614
