year,usa_biofuels_waste,usa_coal,usa_hydropower,usa_natural_gas,usa_nuclear,usa_oil,usa_solar_wind_renewables,canada_biofuels_waste,canada_coal,canada_hydropower,canada_natural_gas,canada_nuclear,canada_oil,canada_solar_wind_renewables,uk_biofuels_waste,uk_coal,uk_hydropower,uk_natural_gas,uk_nuclear,uk_oil,uk_solar_wind_renewables
2000,3066641.0,22316629.0,911534.0,22932624.0,8702378.0,36473212.0,634960.0,526409.0,1327108.0,1290632.0,3109048.0,794170.0,3646619.0,1065.0,80467.0,1529547.0,18309.0,3659235.0,927959.0,3065717.0,3914.0
2001,2719607.0,21978910.0,677707.0,21539719.0,8646589.0,37081945.0,627906.0,485057.0,1306647.0,1199948.0,3009432.0,836672.0,3656719.0,1328.0,102303.0,1621970.0,14601.0,3627850.0,982843.0,2979278.0,4068.0
2002,2720174.0,22294474.0,961322.0,22384393.0,8776570.0,36751461.0,446598.0,521726.0,1256785.0,1261994.0,3070958.0,823919.0,3564459.0,1584.0,114766.0,1565272.0,17233.0,3594589.0,958341.0,2952765.0,5238.0
2003,2916938.0,22236153.0,1002992.0,21727665.0,8594378.0,37682054.0,451752.0,529490.0,1242598.0,1214802.0,3338065.0,817003.0,3879835.0,3092.0,128757.0,1682006.0,11617.0,3595698.0,967483.0,3001248.0,5496.0
2004,3044542.0,23089230.0,976024.0,21340567.0,8872789.0,38748835.0,471631.0,580371.0,1197657.0,1227005.0,3266767.0,986040.0,3971368.0,3549.0,137351.0,1554507.0,17434.0,3673981.0,872716.0,2995556.0,8041.0
2005,3173311.0,23332420.0,980802.0,21236103.0,8844283.0,38902924.0,484986.0,554036.0,1259237.0,1302912.0,3384060.0,1004072.0,3873449.0,5745.0,161469.0,1587377.0,17719.0,3578575.0,890378.0,3053201.0,11745.0
2006,3280742.0,23009412.0,1050728.0,21023775.0,8903945.0,38268857.0,519139.0,531921.0,1265826.0,1270267.0,3327969.0,1068698.0,4084499.0,8978.0,165963.0,1726550.0,16534.0,3393918.0,823101.0,3003868.0,16801.0
2007,3378288.0,23180156.0,898628.0,22727727.0,9126916.0,37836425.0,557795.0,554553.0,1271337.0,1323302.0,3346892.0,1019803.0,4090580.0,10918.0,175263.0,1628373.0,18277.0,3431663.0,687578.0,2860356.0,20948.0
2008,3537899.0,22803997.0,924170.0,22653271.0,9139679.0,35508573.0,609691.0,518479.0,1151506.0,1358819.0,3293755.0,1047490.0,4004893.0,13712.0,199007.0,1520647.0,18507.0,3554566.0,572574.0,2788583.0,27507.0
2009,3509141.0,20273558.0,992123.0,22421242.0,9056836.0,33537134.0,680076.0,506225.0,918545.0,1327143.0,3277395.0,982810.0,3922099.0,24260.0,219587.0,1248632.0,18820.0,3269966.0,753796.0,2640968.0,35546.0
2010,3747051.0,20996678.0,944157.0,23281821.0,9151974.0,33767483.0,794291.0,499843.0,966974.0,1264860.0,3291767.0,988996.0,3952265.0,33942.0,249957.0,1296840.0,12928.0,3551136.0,677887.0,2664752.0,38321.0
