date,cpi_energy_yoy_canada,cpi_energy_yoy_uk,cpi_energy_yoy_usa
1971-01-01,3.937008,5.08707,4.780876999999999
1971-02-01,4.72441,6.082098999999999,4.780876999999999
1971-03-01,2.307692,7.598986999999998,5.2
1971-04-01,5.384615,8.730555,2.352941
1971-05-01,5.384615,9.830284,2.745098
1971-06-01,5.384615,10.40287,3.952569
1971-07-01,5.384615,11.40316,3.137255
1971-08-01,5.384615,11.00427,5.511811
1971-09-01,5.384615,10.61808,5.078125
1971-10-01,5.384615,9.464302,3.861004
1971-11-01,5.343512,8.911050999999999,3.088803
1971-12-01,5.343512,8.911050999999999,3.053435
1972-01-01,5.303030000000001,7.359367999999998,2.661597
1972-02-01,4.511278,6.587311,2.281369
1972-03-01,5.263158,5.643797,2.661597
1972-04-01,2.189781,6.106323000000001,3.065134
1972-05-01,2.189781,6.659555,3.435115
1972-06-01,2.189781,6.345754,2.661597
1972-07-01,2.189781,4.881282,3.041825
1972-08-01,2.189781,4.995387,1.865672
1972-09-01,2.189781,5.429076,2.602231
1972-10-01,2.189781,5.249324,2.602231
1972-11-01,1.449275,5.249324,3.745318
1972-12-01,1.449275,5.249324,2.592592
1973-01-01,3.597122,5.162226,3.703704
1973-02-01,5.035971,4.839345,5.204461
1973-03-01,4.285714,4.239257,5.185185
1973-04-01,4.285714,2.749341,6.69145
1973-05-01,5.714286,2.787019,6.642066000000001
1973-06-01,7.142857000000001,2.555661,8.518517999999998
1973-07-01,8.571428,2.593175,8.118081
1973-08-01,11.42857,2.4011,7.692307
1973-09-01,12.14286,1.979867,6.521739
1973-10-01,13.57143,3.230726,9.057971
1973-11-01,15.0,4.258006,12.63538
1973-12-01,18.57143,5.284138,16.96751
1974-01-01,15.27778,9.424135,22.14286
1974-02-01,13.69863,18.89193,25.4417
1974-03-01,13.69863,19.30618,30.28169
1974-04-01,13.69863,24.1521,31.35888
1974-05-01,18.91892,26.12666,32.87197
1974-06-01,20.66667,28.47227,32.08191
1974-07-01,19.07895,31.18383,33.4471
