"total energy supply in Canada",Value,Year,Units
"Coal and coal products",1327108,2000, TJ
"Coal and coal products",1306647,2001, TJ
"Coal and coal products",1256785,2002, TJ
"Coal and coal products",1242598,2003, TJ
"Coal and coal products",1197657,2004, TJ
"Coal and coal products",1259237,2005, TJ
"Coal and coal products",1265826,2006, TJ
"Coal and coal products",1271337,2007, TJ
"Coal and coal products",1151506,2008, TJ
"Coal and coal products",918545,2009, TJ
"Coal and coal products",966974,2010, TJ
"Coal and coal products",872131,2011, TJ
"Coal and coal products",816052,2012, TJ
"Coal and coal products",805621,2013, TJ
"Coal and coal products",855380,2014, TJ
"Coal and coal products",773528,2015, TJ
"Coal and coal products",733016,2016, TJ
"Coal and coal products",753908,2017, TJ
"Coal and coal products",597687,2018, TJ
"Coal and coal products",517685,2019, TJ
"Coal and coal products",409366,2020, TJ
"Coal and coal products",469428,2021, TJ
"Coal and coal products",335473,2022, TJ
"Coal and coal products",355106,2023, TJ
"Coal and coal products",374711,2024, TJ
"Oil and oil products",3646619,2000, TJ
"Oil and oil products",3656719,2001, TJ
"Oil and oil products",3564459,2002, TJ
"Oil and oil products",3879835,2003, TJ
"Oil and oil products",3971368,2004, TJ
"Oil and oil products",3873449,2005, TJ
"Oil and oil products",4084499,2006, TJ
"Oil and oil products",4090580,2007, TJ
"Oil and oil products",4004893,2008, TJ
"Oil and oil products",3922099,2009, TJ
"Oil and oil products",3952265,2010, TJ
"Oil and oil products",3908877,2011, TJ
"Oil and oil products",3974367,2012, TJ
"Oil and oil products",3858642,2013, TJ
"Oil and oil products",4005048,2014, TJ
"Oil and oil products",4257807,2015, TJ
"Oil and oil products",4005769,2016, TJ
"Oil and oil products",4088124,2017, TJ
"Oil and oil products",4166927,2018, TJ
"Oil and oil products",4359647,2019, TJ
"Oil and oil products",3917266,2020, TJ
"Oil and oil products",3975128,2021, TJ
"Oil and oil products",4113893,2022, TJ
"Oil and oil products",4039179,2023, TJ
"Oil and oil products",4114652,2024, TJ
"Natural gas",3109048,2000, TJ
"Natural gas",3009432,2001, TJ
"Natural gas",3070958,2002, TJ
"Natural gas",3338065,2003, TJ
"Natural gas",3266767,2004, TJ
"Natural gas",3384060,2005, TJ
"Natural gas",3327969,2006, TJ
"Natural gas",3346892,2007, TJ
"Natural gas",3293755,2008, TJ
"Natural gas",3277395,2009, TJ
"Natural gas",3291767,2010, TJ
"Natural gas",3518375,2011, TJ
"Natural gas",3513419,2012, TJ
"Natural gas",3620358,2013, TJ
"Natural gas",3642721,2014, TJ
"Natural gas",3542901,2015, TJ
"Natural gas",4335976,2016, TJ
"Natural gas",4659141,2017, TJ
"Natural gas",4888854,2018, TJ
"Natural gas",4923069,2019, TJ
"Natural gas",4704098,2020, TJ
"Natural gas",4694250,2021, TJ
"Natural gas",4977785,2022, TJ
"Natural gas",5003949,2023, TJ
"Natural gas",4977273,2024, TJ
"Nuclear",794170,2000, TJ
"Nuclear",836672,2001, TJ
"Nuclear",823919,2002, TJ
"Nuclear",817003,2003, TJ
"Nuclear",986040,2004, TJ
"Nuclear",1004072,2005, TJ
"Nuclear",1068698,2006, TJ
"Nuclear",1019803,2007, TJ
"Nuclear",1047490,2008, TJ
"Nuclear",982810,2009, TJ
"Nuclear",988996,2010, TJ
"Nuclear",1020970,2011, TJ
"Nuclear",1034858,2012, TJ
"Nuclear",1128425,2013, TJ
"Nuclear",1170327,2014, TJ
"Nuclear",1110643,2015, TJ
"Nuclear",1106498,2016, TJ
"Nuclear",1105079,2017, TJ
"Nuclear",1098883,2018, TJ
"Nuclear",1103967,2019, TJ
"Nuclear",1071218,2020, TJ
"Nuclear",1010498,2021, TJ
"Nuclear",951698,2022, TJ
"Nuclear",971421,2023, TJ
"Nuclear",938901,2024, TJ
"Hydropower",1290632,2000, TJ
"Hydropower",1199948,2001, TJ
"Hydropower",1261994,2002, TJ
"Hydropower",1214802,2003, TJ
"Hydropower",1227005,2004, TJ
"Hydropower",1302912,2005, TJ
"Hydropower",1270267,2006, TJ
"Hydropower",1323302,2007, TJ
"Hydropower",1358819,2008, TJ
"Hydropower",1327143,2009, TJ
"Hydropower",1264860,2010, TJ
"Hydropower",1352469,2011, TJ
"Hydropower",1368824,2012, TJ
"Hydropower",1410300,2013, TJ
"Hydropower",1376866,2014, TJ
"Hydropower",1375758,2015, TJ
"Hydropower",1387418,2016, TJ
"Hydropower",1420372,2017, TJ
"Hydropower",1389081,2018, TJ
"Hydropower",1374235,2019, TJ
"Hydropower",1391421,2020, TJ
"Hydropower",1376607,2021, TJ
"Hydropower",1431669,2022, TJ
"Hydropower",1298516,2023, TJ
"Hydropower",1235375,2024, TJ
"Solar, wind and other renewables",1065,2000, TJ
"Solar, wind and other renewables",1328,2001, TJ
"Solar, wind and other renewables",1584,2002, TJ
"Solar, wind and other renewables",3092,2003, TJ
"Solar, wind and other renewables",3549,2004, TJ
"Solar, wind and other renewables",5745,2005, TJ
"Solar, wind and other renewables",8978,2006, TJ
"Solar, wind and other renewables",10918,2007, TJ
"Solar, wind and other renewables",13712,2008, TJ
"Solar, wind and other renewables",24260,2009, TJ
"Solar, wind and other renewables",33942,2010, TJ
"Solar, wind and other renewables",40552,2011, TJ
"Solar, wind and other renewables",45473,2012, TJ
"Solar, wind and other renewables",71729,2013, TJ
"Solar, wind and other renewables",90380,2014, TJ
"Solar, wind and other renewables",109104,2015, TJ
"Solar, wind and other renewables",123994,2016, TJ
"Solar, wind and other renewables",127166,2017, TJ
"Solar, wind and other renewables",134934,2018, TJ
"Solar, wind and other renewables",133663,2019, TJ
"Solar, wind and other renewables",145180,2020, TJ
"Solar, wind and other renewables",154116,2021, TJ
"Solar, wind and other renewables",164156,2022, TJ
"Solar, wind and other renewables",172674,2023, TJ
"Solar, wind and other renewables",197892,2024, TJ
"Biofuels and waste",526409,2000, TJ
"Biofuels and waste",485057,2001, TJ
"Biofuels and waste",521726,2002, TJ
"Biofuels and waste",529490,2003, TJ
"Biofuels and waste",580371,2004, TJ
"Biofuels and waste",554036,2005, TJ
"Biofuels and waste",531921,2006, TJ
"Biofuels and waste",554553,2007, TJ
"Biofuels and waste",518479,2008, TJ
"Biofuels and waste",506225,2009, TJ
"Biofuels and waste",499843,2010, TJ
"Biofuels and waste",512929,2011, TJ
"Biofuels and waste",516585,2012, TJ
"Biofuels and waste",555988,2013, TJ
"Biofuels and waste",565747,2014, TJ
"Biofuels and waste",540882,2015, TJ
"Biofuels and waste",548205,2016, TJ
"Biofuels and waste",578502,2017, TJ
"Biofuels and waste",565532,2018, TJ
"Biofuels and waste",555093,2019, TJ
"Biofuels and waste",502479,2020, TJ
"Biofuels and waste",538527,2021, TJ
"Biofuels and waste",565136,2022, TJ
"Biofuels and waste",571739,2023, TJ
"Biofuels and waste",576766,2024, TJ
