"total energy supply in United States",Value,Year,Units
"Coal and coal products",22316629,2000, TJ
"Coal and coal products",21978910,2001, TJ
"Coal and coal products",22294474,2002, TJ
"Coal and coal products",22236153,2003, TJ
"Coal and coal products",23089230,2004, TJ
"Coal and coal products",23332420,2005, TJ
"Coal and coal products",23009412,2006, TJ
"Coal and coal products",23180156,2007, TJ
"Coal and coal products",22803997,2008, TJ
"Coal and coal products",20273558,2009, TJ
"Coal and coal products",20996678,2010, TJ
"Coal and coal products",20012108,2011, TJ
"Coal and coal products",17737516,2012, TJ
"Coal and coal products",18094904,2013, TJ
"Coal and coal products",18072073,2014, TJ
"Coal and coal products",15660181,2015, TJ
"Coal and coal products",14300841,2016, TJ
"Coal and coal products",13847655,2017, TJ
"Coal and coal products",13426291,2018, TJ
"Coal and coal products",11510279,2019, TJ
"Coal and coal products",9280479,2020, TJ
"Coal and coal products",10635146,2021, TJ
"Coal and coal products",10016167,2022, TJ
"Coal and coal products",8447571,2023, TJ
"Coal and coal products",8005703,2024, TJ
"Oil and oil products",36473212,2000, TJ
"Oil and oil products",37081945,2001, TJ
"Oil and oil products",36751461,2002, TJ
"Oil and oil products",37682054,2003, TJ
"Oil and oil products",38748835,2004, TJ
"Oil and oil products",38902924,2005, TJ
"Oil and oil products",38268857,2006, TJ
"Oil and oil products",37836425,2007, TJ
"Oil and oil products",35508573,2008, TJ
"Oil and oil products",33537134,2009, TJ
"Oil and oil products",33767483,2010, TJ
"Oil and oil products",32700212,2011, TJ
"Oil and oil products",32317081,2012, TJ
"Oil and oil products",32389117,2013, TJ
"Oil and oil products",32367234,2014, TJ
"Oil and oil products",33056355,2015, TJ
"Oil and oil products",32837869,2016, TJ
"Oil and oil products",33087374,2017, TJ
"Oil and oil products",33566263,2018, TJ
"Oil and oil products",33293509,2019, TJ
"Oil and oil products",29400955,2020, TJ
"Oil and oil products",31968560,2021, TJ
"Oil and oil products",31721656,2022, TJ
"Oil and oil products",31889337,2023, TJ
"Oil and oil products",32561614,2024, TJ
"Natural gas",22932624,2000, TJ
"Natural gas",21539719,2001, TJ
"Natural gas",22384393,2002, TJ
"Natural gas",21727665,2003, TJ
"Natural gas",21340567,2004, TJ
"Natural gas",21236103,2005, TJ
"Natural gas",21023775,2006, TJ
"Natural gas",22727727,2007, TJ
"Natural gas",22653271,2008, TJ
"Natural gas",22421242,2009, TJ
"Natural gas",23281821,2010, TJ
"Natural gas",23812993,2011, TJ
"Natural gas",24907509,2012, TJ
"Natural gas",25395330,2013, TJ
"Natural gas",26276307,2014, TJ
"Natural gas",27067980,2015, TJ
"Natural gas",27334911,2016, TJ
"Natural gas",26960229,2017, TJ
"Natural gas",29054726,2018, TJ
"Natural gas",31078534,2019, TJ
"Natural gas",30104803,2020, TJ
"Natural gas",30274618,2021, TJ
"Natural gas",32292088,2022, TJ
"Natural gas",32042963,2023, TJ
"Natural gas",32561342,2024, TJ
"Nuclear",8702378,2000, TJ
"Nuclear",8646589,2001, TJ
"Nuclear",8776570,2002, TJ
"Nuclear",8594378,2003, TJ
"Nuclear",8872789,2004, TJ
"Nuclear",8844283,2005, TJ
"Nuclear",8903945,2006, TJ
"Nuclear",9126916,2007, TJ
"Nuclear",9139679,2008, TJ
"Nuclear",9056836,2009, TJ
"Nuclear",9151974,2010, TJ
"Nuclear",8960781,2011, TJ
"Nuclear",8739589,2012, TJ
"Nuclear",8967316,2013, TJ
"Nuclear",9060916,2014, TJ
"Nuclear",9057687,2015, TJ
"Nuclear",9162741,2016, TJ
"Nuclear",9151214,2017, TJ
"Nuclear",9178130,2018, TJ
"Nuclear",9199964,2019, TJ
"Nuclear",8979813,2020, TJ
"Nuclear",8853288,2021, TJ
